ID,Client,Latitude,Longitude,Distance_from_Last (miles),Time_from_Last (min)
14,Client 14,25.854878,-80.273396,2.81543987,8.717
19,Client 19,25.85633,-80.287508,1.004138342,4.033
13,Client 13,25.867947,-80.30792,2.045559049,7.083
9,Client 9,25.875042,-80.310713,0.796599848,3.85
36,Client 36,25.883883,-80.313973,0.788522003,3.2
32,Client 32,25.887652,-80.318098,0.596517827,2.083
0,Home,25.8628876,-80.24720465,8.235674252,13.217
41,Client 41,25.88901,-80.222271,3.343606696,10.267
40,Client 40,25.902959,-80.301147,7.245206109,15.15
8,Client 8,25.929102,-80.304068,2.642698249,9.1
28,Client 28,25.937114,-80.320012,1.469546522,6.267
26,Client 26,25.9429,-80.339292,1.698833062,5.267
3,Client 3,25.941636,-80.346143,1.256415674,5.6
0,Home,25.8628876,-80.24720465,12.57844831,19.567
20,Client 20,25.882567,-80.331127,8.400338027,14.683
21,Client 21,25.870162,-80.32716,1.199870754,6.183
22,Client 22,25.874353,-80.326662,1.2079486,7.333
5,Client 5,25.899725,-80.337944,3.020492873,13.25
4,Client 4,25.909754,-80.337282,1.7982527,8.033
6,Client 6,25.921676,-80.332595,1.686405607,7.667
0,Home,25.8628876,-80.24720465,8.975729181,15.733
12,Client 12,25.929776,-80.283216,7.474492649,16.233
24,Client 24,25.949633,-80.280748,1.795145836,6.133
16,Client 16,25.950523,-80.263303,1.644152261,5.3
30,Client 30,25.931565,-80.326758,6.286427977,13.217
29,Client 29,25.933772,-80.327272,0.166527893,1.117
15,Client 15,25.966784,-80.346919,6.067083401,13.667
0,Home,25.8628876,-80.24720465,15.42619956,22.267
23,Client 23,25.796535,-80.234819,5.634607976,17.767
48,Client 48,25.770551,-80.251593,2.853343607,10.833
11,Client 11,25.767088,-80.277471,2.09340475,8.567
7,Client 7,25.755625,-80.302871,2.317098935,8.667
2,Client 2,25.68771,-80.348785,7.051959188,13.717
51,Client 51,25.721073,-80.381112,5.610374439,11.2
0,Home,25.8628876,-80.24720465,22.73851392,29.3
10,Client 10,26.014356,-80.222985,14.4543726,23.15
45,Client 45,25.988207,-80.315276,10.62050281,17.867
27,Client 27,25.986615,-80.389558,5.830340388,12.967
17,Client 17,25.771166,-80.397552,18.80398176,24.267
47,Client 47,25.736043,-80.393279,2.835323797,10.167
49,Client 49,25.73555,-80.385851,0.607081164,3.033
0,Home,25.8628876,-80.24720465,22.73851392,31.767
1,Client 1,25.724319,-80.354282,16.48191184,32.633
46,Client 46,25.702964,-80.399806,4.63419787,11.633
43,Client 43,25.700156,-80.417381,1.43723514,4.033
37,Client 37,25.71264,-80.432032,2.19779537,5.583
34,Client 34,25.710372,-80.444236,1.344029229,4.85
44,Client 44,25.720914,-80.407891,3.150359775,9.117
0,Home,25.8628876,-80.24720465,23.83710092,32.883
38,Client 38,25.674866,-80.431113,23.29899213,39.15
42,Client 42,25.621769,-80.420698,5.091528204,12.7
33,Client 33,25.619406,-80.427357,0.898504977,2.717
31,Client 31,25.607788,-80.426484,1.242745473,3.817
35,Client 35,25.609076,-80.441792,1.35334982,4.25
39,Client 39,25.602578,-80.423699,2.189096151,7.183
0,Home,25.8628876,-80.24720465,32.64940907,42.95
50,Client 50,25.548208,-80.378468,30.92758522,43.7
18,Client 18,25.45588,-80.43948,10.93926703,18.75
25,Client 25,25.470714,-80.495811,4.509923323,15.55
