Cluster,Time (minutes),Routing (by Order ID),,,,,,
0,61.966,"[0, 37, 44, 1, 21, 0]",,,,,,
1,116.267,"[0, 25, 24, 47, 9, 19, 46, 0]",,,,,,
2,121.067,"[0, 5, 41, 0]",,,,,,
3,91.916,"[0, 38, 12, 22, 29, 0]",,,,,,
4,115.318,"[0, 42, 23, 6, 10, 33, 18, 43, 11, 20, 2, 0]",,,,,,
5,107.7,"[0, 4, 16, 45, 30, 34, 0]",,,,,,
6,120.966,"[0, 8, 48, 15, 32, 31, 40, 0]",,,,,,
7,143.216,"[0, 35, 14, 26, 36, 39, 50, 3, 49, 28, 0]",,,,,,
8,86.583,"[0, 7, 0]",,,,,,
9,47.333,"[0, 27, 0]",,,,,,
10,23.883,"[0, 13, 17, 0]",,,,,,
11,20.55,"[0, 51, 0]",,,,,,
Total,1056.765,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
